post,reply,comment,total,liked,test_grade,homework_grade,exam_grade,discussion_grade,final_grade,grade_level
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,3.5,3.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,3.5,3.0
0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,3.33,3.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,3.25,3.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,3.25,3.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,10.98,18.75,0.0,0.0,2.78,3.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,2.75,3.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,2.75,3.0
0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,10.0,2.73,3.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,2.5,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0
